node_id,eigen_centrality,in_degree,out_degree
289781,0.000000,4,2
307015,0.000000,4,2
335733,0.000000,1,2
33904,0.000000,2,3
33907,0.000000,5,4
35061,0.000000,12,3
38205,0.000000,11,3
387795,0.000000,1,4
415693,0.000000,1,3
41714,0.000000,11,2
427606,0.000000,4,1
44368,0.000000,1,3
45599,0.000000,0,2
46079,0.000000,2,1
46431,0.000000,0,4
486840,0.000000,2,2
48766,0.000000,2,3
503883,0.000000,9,2
503893,0.000000,3,2
513189,0.000000,4,3
54129,0.000000,14,1
54131,0.000000,11,4
56119,0.000000,4,5
561238,0.000000,0,2
568857,0.000000,2,5
573964,0.000000,3,2
573978,0.000000,0,3
574009,0.000000,1,1
574264,0.000000,2,1
574462,0.000000,0,2
575077,0.000000,8,2
575292,0.000000,2,3
575331,0.000000,0,2
576725,0.000000,1,2
576795,0.000000,1,3
577227,0.000000,1,1
578780,0.000000,0,4
579008,0.000000,5,3
592973,0.000000,2,1
593091,0.000000,1,5
593105,0.000000,0,4
593240,0.000000,2,4
593260,0.000000,0,3
593813,0.000000,0,4
594047,0.000000,2,2
594543,0.000000,0,2
594649,0.000000,0,4
594900,0.000000,0,2
608326,0.000000,2,2
634902,0.000000,1,2
634904,0.000000,1,2
634938,0.000000,1,2
634975,0.000000,0,4
640617,0.000000,1,2
646809,0.000000,3,3
646837,0.000000,0,2
647408,0.000000,0,3
647447,0.000000,1,4
66556,0.000000,5,3
66563,0.000000,2,4
66805,0.000000,2,2
69284,0.000000,2,5
69296,0.000000,1,4
694759,0.000000,0,2
735303,0.000000,1,2
78511,0.000000,3,4
787016,0.000000,1,3
801170,0.000000,0,5
81722,0.000000,0,2
82098,0.000000,1,2
84021,0.000000,7,5
85352,0.000000,16,1
86359,0.000000,4,3
8865,0.000000,7,1
887,0.000000,27,3
97645,0.000000,2,1
98698,0.000000,1,3
40,0.000000,3,1
1109017,0.000000,0,1
1114442,0.000000,0,5
114,0.000000,42,0
1103315,0.000000,0,5
1105394,0.000000,0,2
1106112,0.000000,0,3
1106172,0.000000,0,4
1106406,0.000000,0,4
1107455,0.000000,0,4
1111052,0.000000,0,4
1114125,0.000000,0,2
1117942,0.000000,0,3
1118245,0.000000,0,4
1118332,0.000000,0,2
1120170,0.000000,0,2
1126029,0.000000,0,4
124064,0.000000,3,5
128,0.000000,4,4
130,0.000000,3,4
136665,0.000000,1,1
191404,0.000000,0,1
193742,0.000000,2,4
23258,0.000000,3,5
28227,0.000000,2,3
28287,0.000000,8,5
28350,0.000000,12,2
28387,0.000000,1,4
28471,0.000000,1,4
28485,0.000000,2,3
341188,0.000000,2,5
38480,0.000000,1,5
39403,0.000000,1,4
434,0.000000,1,5
55968,0.000000,1,4
58540,0.000000,1,3
6155,0.000000,1,5
6170,0.000000,0,2
6196,0.000000,6,3
6220,0.000000,3,5
64484,0.000000,1,1
7432,0.000000,0,2
755217,0.000000,0,5
8213,0.000000,0,3
91975,0.000000,1,5
976334,0.000000,0,5
117,0.000000,17,0
1109581,0.000000,0,5
149669,0.000000,1,4
17476,0.000000,9,4
189708,0.000000,1,1
206259,0.000000,0,3
28202,0.000000,3,4
28278,0.000000,1,5
32872,0.000000,1,3
33013,0.000000,0,3
6214,0.000000,28,4
75674,0.000000,2,2
20526,0.000000,2,4
13960,0.000000,0,5
345340,0.000000,0,5
288,0.000000,2,1
1118092,0.000000,0,3
36167,0.000000,1,3
424,0.000000,3,2
1135125,0.000000,0,3
218666,0.000000,0,1
47684,0.000000,0,3
267003,0.000000,1,1
463,0.000000,1,0
58454,0.000000,2,1
504,0.000000,4,0
1102364,0.000000,0,2
1112650,0.000000,0,1
506,0.000000,3,2
89416,0.000000,5,2
1106546,0.000000,0,3
10796,0.000000,14,3
1105033,0.000000,0,2
1111304,0.000000,0,5
1113614,0.000000,0,3
114308,0.000000,1,1
134128,0.000000,3,5
161221,0.000000,1,3
170798,0.000000,1,2
19045,0.000000,4,2
20972,0.000000,1,2
28456,0.000000,0,5
299195,0.000000,0,3
299197,0.000000,0,5
334153,0.000000,1,3
35490,0.000000,4,1
595056,0.000000,0,5
6151,0.000000,9,3
6213,0.000000,76,3
6215,0.000000,2,3
64519,0.000000,3,1
87363,0.000000,1,4
906,0.000000,7,0
1103979,0.000000,0,3
1105344,0.000000,0,4
1114352,0.000000,0,4
1136397,0.000000,0,5
1140040,0.000000,0,3
34355,0.000000,1,2
910,0.000000,41,5
1104379,0.000000,0,4
1105530,0.000000,0,2
1108834,0.000000,0,5
1110520,0.000000,0,2
1114118,0.000000,0,2
1116569,0.000000,0,2
1118848,0.000000,0,2
1120858,0.000000,0,3
1122460,0.000000,0,2
1126044,0.000000,0,5
1129111,0.000000,0,2
1135137,0.000000,0,3
1152194,0.000000,0,2
12439,0.000000,3,3
12946,0.000000,0,2
131042,0.000000,1,3
13136,0.000000,2,1
160705,0.000000,0,3
227286,0.000000,1,4
242637,0.000000,1,3
31043,0.000000,0,3
340075,0.000000,0,3
340078,0.000000,2,2
35905,0.000000,4,2
42847,0.000000,1,4
436796,0.000000,0,2
48550,0.000000,2,4
5462,0.000000,4,1
576257,0.000000,2,2
58552,0.000000,2,2
5869,0.000000,2,2
636511,0.000000,0,4
67292,0.000000,1,1
675649,0.000000,1,4
684372,0.000000,0,3
94953,0.000000,0,1
936,0.000000,8,0
1107010,0.000000,0,4
1111899,0.000000,0,3
129558,0.000000,0,2
207395,0.000000,0,4
3084,0.000000,3,3
3828,0.000000,4,4
38845,0.000000,2,4
940,0.000000,3,1
20180,0.000000,2,2
28265,0.000000,2,2
941,0.000000,5,0
943,0.000000,3,2
1152896,0.000000,0,5
91852,0.000000,1,4
1026,0.000000,5,0
1034,0.000000,1,3
1102550,0.000000,0,4
1105231,0.000000,0,2
1129798,0.000000,0,1
1153945,0.000000,0,2
1107062,0.000000,0,3
1035,0.000000,3,2
1110515,0.000000,0,4
1213,0.000000,3,1
1154525,0.000000,0,3
409725,0.000000,0,2
8766,0.000000,1,1
1237,0.000000,4,0
102938,0.000000,1,3
1102400,0.000000,0,3
143676,0.000000,1,3
1246,0.000000,5,0
1104007,0.000000,0,4
42207,0.000000,1,4
57764,0.000000,1,5
6125,0.000000,5,5
1272,0.000000,32,2
1102625,0.000000,0,3
1108167,0.000000,0,5
1120962,0.000000,0,3
112378,0.000000,5,5
1123867,0.000000,0,2
1128256,0.000000,0,2
1129208,0.000000,0,3
1135358,0.000000,0,2
157805,0.000000,1,2
18615,0.000000,3,5
192734,0.000000,0,3
20593,0.000000,0,3
27230,0.000000,1,3
284414,0.000000,1,1
30895,0.000000,5,5
30901,0.000000,0,5
444240,0.000000,0,3
520471,0.000000,1,1
52835,0.000000,1,2
552469,0.000000,0,2
560936,0.000000,2,4
591016,0.000000,2,2
636098,0.000000,0,3
65653,0.000000,2,5
6917,0.000000,2,5
6923,0.000000,6,3
85452,0.000000,2,2
85688,0.000000,5,1
93923,0.000000,1,3
97892,0.000000,0,4
1365,0.000000,74,0
1031453,0.000000,0,2
1102407,0.000000,0,1
1105062,0.000000,0,1
1106287,0.000000,0,4
1108050,0.000000,0,3
1110494,0.000000,0,1
1110998,0.000000,0,4
1113995,0.000000,0,2
1114153,0.000000,0,2
1114388,0.000000,0,3
1114605,0.000000,0,2
1116347,0.000000,0,5
1116594,0.000000,0,2
1117653,0.000000,0,2
1119140,0.000000,0,3
1120211,0.000000,0,2
1120866,0.000000,0,1
1128839,0.000000,0,3
1129443,0.000000,0,1
1130600,0.000000,0,4
1131647,0.000000,0,2
1131745,0.000000,0,2
1131748,0.000000,0,2
1132922,0.000000,0,1
1132968,0.000000,0,5
1135368,0.000000,0,1
1136422,0.000000,0,2
1136442,0.000000,0,1
1152143,0.000000,0,4
1152821,0.000000,0,1
1154169,0.000000,0,2
120084,0.000000,1,4
139865,0.000000,2,2
157401,0.000000,1,2
171225,0.000000,0,2
184918,0.000000,2,4
188318,0.000000,1,3
188471,0.000000,1,4
22835,0.000000,2,1
23448,0.000000,0,3
23502,0.000000,2,4
23507,0.000000,7,4
237521,0.000000,1,1
26850,0.000000,1,1
330148,0.000000,2,3
340299,0.000000,1,2
39904,0.000000,0,2
49482,0.000000,4,3
562123,0.000000,1,3
628500,0.000000,2,4
648232,0.000000,1,1
649731,0.000000,2,2
69392,0.000000,1,3
7276,0.000000,1,4
7297,0.000000,3,4
77758,0.000000,9,1
782486,0.000000,0,3
83826,0.000000,1,3
85299,0.000000,3,1
853150,0.000000,0,1
90888,0.000000,3,2
93555,0.000000,5,1
948299,0.000000,0,3
948846,0.000000,0,1
949318,0.000000,0,1
949511,0.000000,0,2
950052,0.000000,0,2
950305,0.000000,0,2
1481,0.000000,16,0
1102567,0.000000,0,2
1106052,0.000000,0,3
1108267,0.000000,0,5
1111614,0.000000,0,1
1113934,0.000000,0,5
1114864,0.000000,0,4
1117184,0.000000,0,4
1119295,0.000000,0,3
1120563,0.000000,0,5
1153891,0.000000,0,4
200480,0.000000,0,5
399173,0.000000,0,1
4878,0.000000,1,1
521207,0.000000,1,5
521269,0.000000,1,2
1134022,0.000000,0,2
152483,0.000000,2,2
1694,0.000000,1,2
39474,0.000000,1,3
647413,0.000000,0,3
1717,0.000000,5,4
1115291,0.000000,0,4
1116336,0.000000,0,2
1135108,0.000000,0,3
50381,0.000000,1,3
733167,0.000000,1,1
1786,0.000000,1,3
35797,0.000000,10,4
1817,0.000000,1,1
1114502,0.000000,0,5
1919,0.000000,2,1
1108389,0.000000,0,5
1949,0.000000,2,4
129042,0.000000,3,1
3101,0.000000,4,3
1951,0.000000,1,0
3095,0.000000,4,2
1952,0.000000,4,1
1107215,0.000000,0,3
1953,0.000000,4,0
1153166,0.000000,0,2
1153724,0.000000,0,2
1153728,0.000000,0,4
1955,0.000000,4,0
110163,0.000000,2,5
1110390,0.000000,0,3
101143,0.000000,2,3
1118302,0.000000,0,2
1153101,0.000000,0,3
1153150,0.000000,0,3
263486,0.000000,1,2
83449,0.000000,3,3
1959,0.000000,10,0
3097,0.000000,5,3
310530,0.000000,1,4
38839,0.000000,1,3
73327,0.000000,5,3
82664,0.000000,2,1
1997,0.000000,9,2
1102442,0.000000,0,2
1108551,0.000000,0,2
1109439,0.000000,0,3
1109542,0.000000,0,1
129897,0.000000,0,5
154982,0.000000,6,2
3233,0.000000,9,4
49811,0.000000,2,2
7032,0.000000,5,1
1999,0.000000,5,0
1123068,0.000000,0,5
1131471,0.000000,0,3
39126,0.000000,2,5
6771,0.000000,1,5
2354,0.000000,7,2
10186,0.000000,1,5
1107140,0.000000,0,2
1113852,0.000000,0,3
1130539,0.000000,0,5
154134,0.000000,0,4
40151,0.000000,9,1
74749,0.000000,3,2
2440,0.000000,30,1
1000012,0.000000,0,5
1061127,0.000000,0,1
1106388,0.000000,0,5
1107095,0.000000,0,3
1110426,0.000000,0,4
1114512,0.000000,0,3
1117786,0.000000,0,3
1120650,0.000000,0,3
1127619,0.000000,0,2
1153254,0.000000,0,1
136766,0.000000,1,5
136768,0.000000,1,3
151430,0.000000,1,2
212777,0.000000,0,3
23546,0.000000,1,1
49843,0.000000,3,5
49844,0.000000,1,5
49847,0.000000,1,4
582343,0.000000,1,5
591017,0.000000,1,4
63931,0.000000,5,2
72908,0.000000,4,1
2653,0.000000,18,0
102406,0.000000,0,3
107177,0.000000,1,1
1104055,0.000000,0,4
1116268,0.000000,0,5
1116842,0.000000,0,2
1118764,0.000000,0,4
1119751,0.000000,0,4
1152075,0.000000,0,2
167656,0.000000,0,5
197783,0.000000,0,3
28641,0.000000,0,4
321861,0.000000,1,2
350362,0.000000,0,3
4660,0.000000,4,4
59045,0.000000,1,2
65650,0.000000,4,5
2654,0.000000,13,0
1104851,0.000000,0,4
1106630,0.000000,0,5
1107861,0.000000,0,3
1110438,0.000000,0,4
1121867,0.000000,0,5
1123926,0.000000,0,2
211906,0.000000,0,1
27250,0.000000,0,4
463825,0.000000,0,4
52784,0.000000,1,4
2658,0.000000,17,3
1115375,0.000000,0,3
1130676,0.000000,0,4
1130808,0.000000,0,3
1131607,0.000000,0,3
1132948,0.000000,0,3
1135899,0.000000,0,3
1140230,0.000000,0,2
230884,0.000000,4,3
236759,0.000000,0,4
282700,0.000000,1,1
395540,0.000000,1,2
578347,0.000000,1,5
696342,0.000000,0,3
696345,0.000000,4,4
696346,0.000000,0,5
751408,0.000000,1,4
99023,0.000000,3,3
2663,0.000000,1,1
1119671,0.000000,0,1
2665,0.000000,28,3
1105574,0.000000,0,3
1113035,0.000000,0,3
1122704,0.000000,0,2
1132486,0.000000,0,4
205192,0.000000,3,2
237489,0.000000,2,2
43639,0.000000,2,1
578306,0.000000,1,3
578309,0.000000,1,5
578337,0.000000,5,4
582139,0.000000,2,2
630817,0.000000,1,1
631052,0.000000,0,5
763009,0.000000,3,3
2695,0.000000,4,4
1108169,0.000000,0,3
1120197,0.000000,0,2
2698,0.000000,5,2
342802,0.000000,1,4
2696,0.000000,17,1
1114192,0.000000,0,4
1118083,0.000000,0,3
1123239,0.000000,0,2
1133004,0.000000,0,2
256106,0.000000,1,3
469504,0.000000,0,3
5348,0.000000,15,1
99025,0.000000,0,5
2702,0.000000,4,0
1120777,0.000000,0,4
12330,0.000000,9,1
395553,0.000000,2,4
72056,0.000000,1,1
1107171,0.000000,0,4
255233,0.000000,1,2
33303,0.000000,0,4
3085,0.000000,6,3
15889,0.000000,7,1
221302,0.000000,1,3
30973,0.000000,0,2
395725,0.000000,2,4
5062,0.000000,5,2
110162,0.000000,2,4
218682,0.000000,1,2
1106236,0.000000,0,4
129045,0.000000,2,2
110164,0.000000,0,5
70441,0.000000,0,3
3112,0.000000,8,2
103529,0.000000,1,2
1152564,0.000000,0,2
470511,0.000000,0,3
77826,0.000000,2,2
77829,0.000000,2,1
3187,0.000000,5,1
1110000,0.000000,0,2
129896,0.000000,0,4
280876,0.000000,1,2
5086,0.000000,11,3
3191,0.000000,15,4
105865,0.000000,2,2
1106789,0.000000,0,2
1127530,0.000000,0,2
1131267,0.000000,0,2
137873,0.000000,0,3
162664,0.000000,5,2
308920,0.000000,0,3
310742,0.000000,0,3
3192,0.000000,8,3
423463,0.000000,0,3
561364,0.000000,1,3
642827,0.000000,0,5
3217,0.000000,5,0
167670,0.000000,1,5
238099,0.000000,1,2
86840,0.000000,0,5
3218,0.000000,15,0
1106492,0.000000,0,4
1119987,0.000000,0,3
1120169,0.000000,0,4
1152290,0.000000,0,4
1153264,0.000000,0,2
187354,0.000000,3,2
277263,0.000000,0,3
35070,0.000000,0,2
417017,0.000000,0,4
6639,0.000000,4,3
66782,0.000000,2,1
6767,0.000000,7,2
6941,0.000000,1,3
3220,0.000000,17,1
1115677,0.000000,0,2
1125992,0.000000,0,5
1128430,0.000000,0,3
1130634,0.000000,0,2
1131728,0.000000,0,5
1132706,0.000000,0,2
120039,0.000000,0,3
145215,0.000000,3,4
346243,0.000000,1,2
36620,0.000000,3,4
39124,0.000000,0,3
40922,0.000000,0,1
429805,0.000000,0,4
654177,0.000000,1,4
69397,0.000000,0,3
8832,0.000000,1,1
3222,0.000000,6,0
1103737,0.000000,0,4
1114222,0.000000,0,3
1131137,0.000000,0,5
1132157,0.000000,0,2
964248,0.000000,0,3
3223,0.000000,5,0
3229,0.000000,61,4
100197,0.000000,3,1
1105718,0.000000,0,3
1106568,0.000000,0,2
1108209,0.000000,0,2
1109392,0.000000,0,3
1112767,0.000000,0,2
1125082,0.000000,0,1
1125895,0.000000,0,2
1126037,0.000000,0,2
1128868,0.000000,0,2
1130915,0.000000,0,2
1130927,0.000000,0,2
1130931,0.000000,0,2
1132418,0.000000,0,4
1140289,0.000000,0,2
1152277,0.000000,0,4
1152673,0.000000,0,4
1154251,0.000000,0,4
118559,0.000000,2,1
133550,0.000000,3,2
16461,0.000000,1,2
189577,0.000000,0,4
25181,0.000000,6,2
25184,0.000000,2,4
27174,0.000000,4,3
27631,0.000000,3,5
31769,0.000000,2,4
33412,0.000000,3,1
35343,0.000000,1,3
35863,0.000000,3,3
35922,0.000000,13,4
390922,0.000000,0,3
396412,0.000000,0,5
444191,0.000000,2,2
447250,0.000000,0,4
52515,0.000000,3,2
62347,0.000000,1,2
641976,0.000000,3,3
654326,0.000000,2,2
7022,0.000000,0,1
72101,0.000000,1,2
82087,0.000000,0,4
919885,0.000000,0,1
92065,0.000000,1,2
96335,0.000000,0,5
3231,0.000000,32,5
104840,0.000000,0,4
1102761,0.000000,0,3
1106330,0.000000,0,3
1106370,0.000000,0,3
1107067,0.000000,0,5
1113926,0.000000,0,2
1115471,0.000000,0,2
1128536,0.000000,0,2
1153169,0.000000,0,2
180399,0.000000,2,2
20850,0.000000,0,4
259126,0.000000,0,2
3237,0.000000,1,4
328370,0.000000,0,2
49660,0.000000,2,4
6334,0.000000,13,4
63477,0.000000,0,3
63486,0.000000,3,5
66594,0.000000,1,5
68463,0.000000,0,3
8699,0.000000,2,3
8821,0.000000,2,3
3232,0.000000,7,0
20942,0.000000,0,2
521251,0.000000,1,3
1125467,0.000000,0,2
192850,0.000000,1,4
272720,0.000000,1,4
509379,0.000000,1,2
976284,0.000000,0,5
3235,0.000000,2,0
3236,0.000000,5,0
601561,0.000000,0,3
3240,0.000000,6,1
1110531,0.000000,0,3
39130,0.000000,4,2
3243,0.000000,12,0
1103610,0.000000,0,2
1110947,0.000000,0,4
1113739,0.000000,0,4
307336,0.000000,2,2
31932,0.000000,1,4
368431,0.000000,1,3
854434,0.000000,0,1
3932,0.000000,1,2
5075,0.000000,3,1
4274,0.000000,3,0
1105428,0.000000,0,3
1114664,0.000000,0,2
1119078,0.000000,0,3
4329,0.000000,7,1
105899,0.000000,1,4
1110768,0.000000,0,1
28254,0.000000,4,5
395547,0.000000,0,4
46468,0.000000,1,3
510718,0.000000,0,3
4330,0.000000,38,2
1103676,0.000000,0,3
1104449,0.000000,0,3
11093,0.000000,1,1
1112929,0.000000,0,2
1132459,0.000000,0,2
1132461,0.000000,0,5
1136393,0.000000,0,2
1152917,0.000000,0,2
118436,0.000000,0,4
119956,0.000000,0,2
120013,0.000000,0,2
151708,0.000000,1,1
168410,0.000000,0,5
32688,0.000000,2,1
37884,0.000000,1,3
390889,0.000000,0,4
428610,0.000000,0,3
684986,0.000000,2,1
69418,0.000000,0,2
753265,0.000000,1,2
949217,0.000000,0,4
4335,0.000000,16,0
1104300,0.000000,0,2
1121254,0.000000,0,3
1136310,0.000000,0,1
1140547,0.000000,0,2
116790,0.000000,1,4
239800,0.000000,1,4
32698,0.000000,1,4
62274,0.000000,3,3
62417,0.000000,2,1
755082,0.000000,1,1
95718,0.000000,1,4
4553,0.000000,1,0
1102548,0.000000,0,1
4584,0.000000,32,0
1120020,0.000000,0,3
1130567,0.000000,0,5
13885,0.000000,5,2
13917,0.000000,1,2
293285,0.000000,0,2
6184,0.000000,8,4
6210,0.000000,1,4
628815,0.000000,1,2
4637,0.000000,1,1
164,0.000000,0,5
4649,0.000000,9,0
1105887,0.000000,0,2
1127851,0.000000,0,5
135765,0.000000,1,2
135766,0.000000,3,1
411092,0.000000,0,3
449841,0.000000,1,3
8703,0.000000,15,4
429781,0.000000,0,3
5038,0.000000,0,4
4804,0.000000,14,4
102884,0.000000,1,1
1108175,0.000000,0,2
1112574,0.000000,0,3
1153262,0.000000,0,4
12182,0.000000,20,3
12210,0.000000,7,3
157761,0.000000,1,4
25805,0.000000,4,4
45189,0.000000,8,3
68505,0.000000,0,2
77515,0.000000,1,3
989397,0.000000,0,4
4983,0.000000,1,0
7867,0.000000,2,1
5055,0.000000,6,0
28026,0.000000,2,2
5064,0.000000,7,4
5069,0.000000,3,5
1121176,0.000000,0,1
1129106,0.000000,0,1
272345,0.000000,0,2
385067,0.000000,1,3
109323,0.000000,1,1
1105698,0.000000,0,1
137849,0.000000,2,2
354004,0.000000,1,1
440815,0.000000,1,2
79809,0.000000,8,5
5194,0.000000,5,0
1152714,0.000000,0,3
133563,0.000000,3,3
133566,0.000000,1,4
140569,0.000000,0,2
139547,0.000000,0,3
75695,0.000000,4,2
911198,0.000000,0,4
5454,0.000000,3,0
1128425,0.000000,0,4
1130680,0.000000,0,3
5600,0.000000,5,1
1022969,0.000000,0,2
1117833,0.000000,0,1
5959,0.000000,4,1
152226,0.000000,1,2
545647,0.000000,1,3
582511,0.000000,1,3
5966,0.000000,8,0
1107572,0.000000,0,3
12211,0.000000,1,2
27612,0.000000,2,3
385251,0.000000,0,2
6130,0.000000,5,3
1154123,0.000000,0,5
1154124,0.000000,0,5
671269,0.000000,5,1
675847,0.000000,1,2
1106547,0.000000,0,3
1107355,0.000000,0,4
1385,0.000000,0,4
6152,0.000000,1,2
6163,0.000000,8,4
1106966,0.000000,0,3
20534,0.000000,7,3
96847,0.000000,1,4
6169,0.000000,6,1
1114629,0.000000,0,2
170338,0.000000,0,3
7419,0.000000,7,3
10981,0.000000,2,1
1120731,0.000000,0,5
13686,0.000000,4,4
399339,0.000000,1,3
1153056,0.000000,0,2
81350,0.000000,2,3
6209,0.000000,11,0
1108329,0.000000,0,5
118259,0.000000,2,1
118260,0.000000,1,3
181782,0.000000,0,3
212930,0.000000,0,4
8875,0.000000,5,5
95579,0.000000,0,4
1105764,0.000000,0,5
1109957,0.000000,0,3
1111230,0.000000,0,2
1113182,0.000000,0,3
1113459,0.000000,0,5
1117760,0.000000,0,3
1122425,0.000000,0,4
1123553,0.000000,0,2
1128267,0.000000,0,2
1129096,0.000000,0,2
1129243,0.000000,0,3
13193,0.000000,2,3
153598,0.000000,1,2
17208,0.000000,5,4
195361,0.000000,1,1
218410,0.000000,2,1
23774,0.000000,3,2
241133,0.000000,1,2
293271,0.000000,1,1
353541,0.000000,0,3
6224,0.000000,3,5
628667,0.000000,1,2
628668,0.000000,0,4
672064,0.000000,1,2
1115886,0.000000,0,1
1152740,0.000000,0,3
28447,0.000000,3,4
6378,0.000000,3,3
93320,0.000000,0,3
95589,0.000000,0,5
6216,0.000000,6,0
230300,0.000000,1,3
6238,0.000000,4,0
10793,0.000000,0,1
1123991,0.000000,0,1
1130356,0.000000,0,1
84459,0.000000,0,2
6311,0.000000,4,3
235776,0.000000,0,4
6318,0.000000,4,0
1108656,0.000000,0,2
1121057,0.000000,0,2
20833,0.000000,0,2
1152307,0.000000,0,3
1152448,0.000000,0,3
1152975,0.000000,0,3
1153703,0.000000,0,3
6343,0.000000,5,0
141868,0.000000,1,4
359067,0.000000,0,3
521252,0.000000,1,2
6344,0.000000,2,0
1112665,0.000000,0,1
6346,0.000000,2,0
1106103,0.000000,0,2
1112075,0.000000,0,2
28473,0.000000,0,2
6385,0.000000,8,0
1103162,0.000000,0,4
682666,0.000000,0,5
892139,0.000000,0,4
6539,0.000000,1,4
1102646,0.000000,0,2
116084,0.000000,4,3
178209,0.000000,5,1
568045,0.000000,0,4
6741,0.000000,9,0
1130637,0.000000,0,1
1153160,0.000000,0,2
348437,0.000000,0,3
49895,0.000000,0,1
51909,0.000000,3,3
83725,0.000000,5,3
9708,0.000000,5,1
1120444,0.000000,0,4
6925,0.000000,5,2
6775,0.000000,2,1
1111240,0.000000,0,5
350319,0.000000,1,2
6782,0.000000,2,0
6784,0.000000,8,0
100961,0.000000,1,2
1116629,0.000000,0,2
60170,0.000000,1,2
6786,0.000000,2,0
714975,0.000000,0,4
6814,0.000000,9,0
1117348,0.000000,0,2
1125469,0.000000,0,5
158172,0.000000,1,3
293974,0.000000,1,5
300071,0.000000,0,5
315266,0.000000,0,3
390896,0.000000,0,3
445938,0.000000,1,4
6818,0.000000,8,2
1105531,0.000000,0,4
50336,0.000000,5,2
50337,0.000000,3,3
6898,0.000000,6,3
1123188,0.000000,0,5
124224,0.000000,2,1
12631,0.000000,8,1
431206,0.000000,1,4
6910,0.000000,9,5
78994,0.000000,2,2
1117219,0.000000,0,2
1132083,0.000000,0,3
1152150,0.000000,0,3
1154103,0.000000,0,4
169279,0.000000,2,2
263553,0.000000,3,2
662416,0.000000,1,4
6913,0.000000,10,2
1105011,0.000000,0,1
1131230,0.000000,0,1
703953,0.000000,0,1
1153811,0.000000,0,4
1155073,0.000000,0,3
20857,0.000000,2,1
308003,0.000000,0,2
1114526,0.000000,0,3
1118658,0.000000,0,3
372862,0.000000,0,4
57922,0.000000,2,2
57948,0.000000,3,5
6935,0.000000,8,2
101660,0.000000,1,1
1115670,0.000000,0,2
6939,0.000000,1,2
1116922,0.000000,0,2
323128,0.000000,0,4
52847,0.000000,2,1
7041,0.000000,1,0
1120880,0.000000,0,1
7047,0.000000,5,0
1135082,0.000000,0,3
14549,0.000000,2,3
54844,0.000000,1,1
7272,0.000000,4,0
1136446,0.000000,0,5
763181,0.000000,0,4
7296,0.000000,1,0
763010,0.000000,4,1
1107312,0.000000,0,4
7430,0.000000,2,4
1153287,0.000000,0,4
95586,0.000000,1,3
7532,0.000000,6,2
1121603,0.000000,0,3
1153097,0.000000,0,3
141171,0.000000,1,5
314459,0.000000,1,4
7537,0.000000,7,1
80515,0.000000,2,2
1113534,0.000000,0,1
1131348,0.000000,0,1
409255,0.000000,1,1
1138027,0.000000,0,2
315789,0.000000,2,1
8079,0.000000,7,1
105057,0.000000,0,4
8224,0.000000,25,1
1108728,0.000000,0,3
1111788,0.000000,0,3
1128531,0.000000,0,3
1132815,0.000000,0,2
11342,0.000000,3,3
1153148,0.000000,0,3
1153866,0.000000,0,2
133615,0.000000,3,1
22431,0.000000,6,2
22563,0.000000,19,3
23738,0.000000,15,2
55403,0.000000,1,2
