Dataset,Vertices,Edges,MaxCore,Runtime_sec,Memory_MB,AvgDegree,Density
er_1000_sparse,1000,2468,3,0.000000,0.06,4.9360,4.940941e-03
er_100_dense,100,1027,15,0.000000,0.01,20.5400,2.074747e-01
er_100_sparse,100,237,3,0.000000,0.01,4.7400,4.787879e-02
er_10k_dense,10000,49751,7,0.001000,0.76,9.9502,9.951195e-04
er_10k_sparse,10000,25023,3,0.001000,0.57,5.0046,5.005101e-04
er_500_dense,500,6255,18,0.000000,0.07,25.0200,5.014028e-02
er_500_sparse,500,1220,3,0.000000,0.03,4.8800,9.779559e-03
er_5k_dense,5000,37629,10,0.001000,0.48,15.0516,3.010922e-03
er_5k_sparse,5000,12454,3,0.000000,0.29,4.9816,9.965193e-04
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37629,10,0.001000,0.48,15.0516,3.010922e-03
er_5k_sparse,5000,12454,3,0.000000,0.29,4.9816,9.965193e-04
er_10k_dense,10000,49751,7,0.001000,0.76,9.9502,9.951195e-04
er_10k_sparse,10000,25023,3,0.001000,0.57,5.0046,5.005101e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.000000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,949,9,0.000000,0.01,9.4900,4.768844e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2990,3,0.000000,0.06,5.9800,5.985986e-03
plc_5k_m4_p02,5000,19981,4,0.000000,0.34,7.9924,1.598800e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9968,14,0.000000,0.11,19.9360,1.995596e-02
er_1000_sparse,1000,2499,3,0.000000,0.06,4.9980,5.003003e-03
er_100_dense,100,984,14,0.000000,0.01,19.6800,1.987879e-01
er_100_sparse,100,277,4,0.000000,0.01,5.5400,5.595960e-02
er_10k_dense,10000,50121,7,0.002000,0.76,10.0242,1.002520e-03
er_10k_sparse,10000,25029,3,0.001000,0.57,5.0058,5.006301e-04
er_500_dense,500,6221,18,0.000000,0.07,24.8840,4.986774e-02
er_500_sparse,500,1254,4,0.000000,0.03,5.0160,1.005210e-02
er_5k_dense,5000,37712,10,0.001000,0.48,15.0848,3.017564e-03
er_5k_sparse,5000,12497,3,0.000000,0.29,4.9988,9.999600e-04
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37712,10,0.001000,0.48,15.0848,3.017564e-03
er_5k_sparse,5000,12497,3,0.000000,0.29,4.9988,9.999600e-04
er_10k_dense,10000,50121,7,0.002000,0.76,10.0242,1.002520e-03
er_10k_sparse,10000,25029,3,0.001000,0.57,5.0058,5.006301e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.001000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2990,3,0.000000,0.06,5.9800,5.985986e-03
plc_5k_m4_p02,5000,19976,4,0.001000,0.34,7.9904,1.598400e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9920,14,0.000000,0.11,19.8400,1.985986e-02
er_1000_sparse,1000,2511,3,0.000000,0.06,5.0220,5.027027e-03
er_100_dense,100,1007,15,0.000000,0.01,20.1400,2.034343e-01
er_100_sparse,100,260,4,0.000000,0.01,5.2000,5.252525e-02
er_10k_dense,10000,49700,7,0.001000,0.76,9.9400,9.940994e-04
er_10k_sparse,10000,25314,3,0.001000,0.57,5.0628,5.063306e-04
er_500_dense,500,6279,18,0.000000,0.07,25.1160,5.033267e-02
er_500_sparse,500,1212,3,0.000000,0.03,4.8480,9.715431e-03
er_5k_dense,5000,37567,10,0.001000,0.48,15.0268,3.005961e-03
er_5k_sparse,5000,12655,3,0.000000,0.29,5.0620,1.012603e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37567,10,0.001000,0.48,15.0268,3.005961e-03
er_5k_sparse,5000,12655,3,0.000000,0.29,5.0620,1.012603e-03
er_10k_dense,10000,49700,7,0.002000,0.76,9.9400,9.940994e-04
er_10k_sparse,10000,25314,3,0.001000,0.57,5.0628,5.063306e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.000000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2990,3,0.000000,0.06,5.9800,5.985986e-03
plc_5k_m4_p02,5000,19976,4,0.000000,0.34,7.9904,1.598400e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9989,14,0.000000,0.11,19.9780,1.999800e-02
er_1000_sparse,1000,2532,3,0.000000,0.06,5.0640,5.069069e-03
er_100_dense,100,1013,15,0.000000,0.01,20.2600,2.046465e-01
er_100_sparse,100,233,3,0.000000,0.01,4.6600,4.707071e-02
er_10k_dense,10000,50275,7,0.000000,0.77,10.0550,1.005601e-03
er_10k_sparse,10000,24695,3,0.000000,0.57,4.9390,4.939494e-04
er_500_dense,500,6318,18,0.000000,0.07,25.2720,5.064529e-02
er_500_sparse,500,1222,3,0.000000,0.03,4.8880,9.795591e-03
er_5k_dense,5000,37326,10,0.000000,0.48,14.9304,2.986677e-03
er_5k_sparse,5000,12510,3,0.000000,0.29,5.0040,1.001000e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37326,10,0.000000,0.48,14.9304,2.986677e-03
er_5k_sparse,5000,12510,3,0.000000,0.29,5.0040,1.001000e-03
er_10k_dense,10000,50275,7,0.001000,0.77,10.0550,1.005601e-03
er_10k_sparse,10000,24695,3,0.001000,0.57,4.9390,4.939494e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.000000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.000000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,948,9,0.000000,0.01,9.4800,4.763819e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2989,3,0.000000,0.06,5.9780,5.983984e-03
plc_5k_m4_p02,5000,19978,4,0.000000,0.34,7.9912,1.598560e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,10079,14,0.000000,0.12,20.1580,2.017818e-02
er_1000_sparse,1000,2457,3,0.000000,0.06,4.9140,4.918919e-03
er_100_dense,100,975,14,0.000000,0.01,19.5000,1.969697e-01
er_100_sparse,100,226,3,0.000000,0.01,4.5200,4.565657e-02
er_10k_dense,10000,49906,7,0.003000,0.76,9.9812,9.982198e-04
er_10k_sparse,10000,25268,3,0.002000,0.57,5.0536,5.054105e-04
er_500_dense,500,6063,17,0.000000,0.07,24.2520,4.860120e-02
er_500_sparse,500,1253,3,0.000000,0.03,5.0120,1.004409e-02
er_5k_dense,5000,37339,10,0.001000,0.48,14.9356,2.987718e-03
er_5k_sparse,5000,12383,3,0.000000,0.29,4.9532,9.908382e-04
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37339,10,0.001000,0.48,14.9356,2.987718e-03
er_5k_sparse,5000,12383,3,0.000000,0.29,4.9532,9.908382e-04
er_10k_dense,10000,49906,7,0.002000,0.76,9.9812,9.982198e-04
er_10k_sparse,10000,25268,3,0.002000,0.57,5.0536,5.054105e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.001000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.001000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2990,3,0.000000,0.06,5.9800,5.985986e-03
plc_5k_m4_p02,5000,19980,4,0.000000,0.34,7.9920,1.598720e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9981,14,0.000000,0.11,19.9620,1.998198e-02
er_1000_sparse,1000,2516,3,0.000000,0.06,5.0320,5.037037e-03
er_100_dense,100,1038,15,0.000000,0.01,20.7600,2.096970e-01
er_100_sparse,100,236,3,0.000000,0.01,4.7200,4.767677e-02
er_10k_dense,10000,49791,7,0.001000,0.76,9.9582,9.959196e-04
er_10k_sparse,10000,25140,3,0.001000,0.57,5.0280,5.028503e-04
er_500_dense,500,6190,18,0.000000,0.07,24.7600,4.961924e-02
er_500_sparse,500,1338,4,0.000000,0.03,5.3520,1.072545e-02
er_5k_dense,5000,37244,10,0.001000,0.48,14.8976,2.980116e-03
er_5k_sparse,5000,12675,3,0.000000,0.29,5.0700,1.014203e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37244,10,0.001000,0.48,14.8976,2.980116e-03
er_5k_sparse,5000,12675,3,0.000000,0.29,5.0700,1.014203e-03
er_10k_dense,10000,49791,7,0.001000,0.76,9.9582,9.959196e-04
er_10k_sparse,10000,25140,3,0.001000,0.57,5.0280,5.028503e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.000000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2988,3,0.000000,0.06,5.9760,5.981982e-03
plc_5k_m4_p02,5000,19977,4,0.000000,0.34,7.9908,1.598480e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9832,13,0.000000,0.11,19.6640,1.968368e-02
er_1000_sparse,1000,2472,3,0.000000,0.06,4.9440,4.948949e-03
er_100_dense,100,1002,15,0.000000,0.01,20.0400,2.024242e-01
er_100_sparse,100,226,3,0.000000,0.01,4.5200,4.565657e-02
er_10k_dense,10000,49920,7,0.002000,0.76,9.9840,9.984998e-04
er_10k_sparse,10000,25099,3,0.001000,0.57,5.0198,5.020302e-04
er_500_dense,500,6179,17,0.000000,0.07,24.7160,4.953106e-02
er_500_sparse,500,1303,4,0.000000,0.03,5.2120,1.044489e-02
er_5k_dense,5000,37324,10,0.001000,0.48,14.9296,2.986517e-03
er_5k_sparse,5000,12575,3,0.001000,0.29,5.0300,1.006201e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37324,10,0.000000,0.48,14.9296,2.986517e-03
er_5k_sparse,5000,12575,3,0.000000,0.29,5.0300,1.006201e-03
er_10k_dense,10000,49920,7,0.003000,0.76,9.9840,9.984998e-04
er_10k_sparse,10000,25099,3,0.002000,0.57,5.0198,5.020302e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.001000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
plc_5k_m4_p02,5000,19977,4,0.000000,0.34,7.9908,1.598480e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,10049,14,0.000000,0.11,20.0980,2.011812e-02
er_1000_sparse,1000,2378,3,0.000000,0.06,4.7560,4.760761e-03
er_100_dense,100,982,14,0.000000,0.01,19.6400,1.983838e-01
er_100_sparse,100,231,3,0.000000,0.01,4.6200,4.666667e-02
er_10k_dense,10000,49834,7,0.003000,0.76,9.9668,9.967797e-04
er_10k_sparse,10000,24802,3,0.002000,0.57,4.9604,4.960896e-04
er_500_dense,500,6289,18,0.000000,0.07,25.1560,5.041283e-02
